floor,date,hour,avg_num,total
T1 단기주차장지상층,2021-11-01,12,245,993
T1 단기주차장지하1층,2021-11-01,12,55,973
T1 단기주차장지하2층,2021-11-01,12,578,1339
T2 단기주차장지상1층,2021-11-01,12,320,988
T2 단기주차장지상2층,2021-11-01,12,181,470
T2 단기주차장지상3층,2021-11-01,12,270,448
T2 단기주차장지상4층,2021-11-01,12,174,486
T2 단기주차장지하M층,2021-11-01,12,610,751
T1 장기 P1 주차장,2021-11-01,12,2534,2762
T1 장기 P1 주차타워,2021-11-01,12,1125,1374
T1 장기 P2 주차장,2021-11-01,12,1887,2592
T1 장기 P2 주차타워,2021-11-01,12,128,1375
T1 장기 P3 주차장,2021-11-01,12,0,0
T1 예약주차장,2021-11-01,12,285,1382
T2 장기 주차장,2021-11-01,12,2639,2847
T2 예약 주차장,2021-11-01,12,382,936
T1 단기주차장지상층,2021-11-01,13,870,993
T1 단기주차장지하1층,2021-11-01,13,146,973
T1 단기주차장지하2층,2021-11-01,13,117,1339
T2 단기주차장지상1층,2021-11-01,13,165,988
T2 단기주차장지상2층,2021-11-01,13,57,470
T2 단기주차장지상3층,2021-11-01,13,355,448
T2 단기주차장지상4층,2021-11-01,13,209,486
T2 단기주차장지하M층,2021-11-01,13,257,751
T1 장기 P1 주차장,2021-11-01,13,1756,2762
T1 장기 P1 주차타워,2021-11-01,13,190,1374
T1 장기 P2 주차장,2021-11-01,13,333,2592
T1 장기 P2 주차타워,2021-11-01,13,826,1375
T1 장기 P3 주차장,2021-11-01,13,0,0
T1 예약주차장,2021-11-01,13,220,1382
T2 장기 주차장,2021-11-01,13,1718,2847
T2 예약 주차장,2021-11-01,13,762,936
T1 단기주차장지상층,2021-11-01,14,819,993
T1 단기주차장지하1층,2021-11-01,14,80,973
T1 단기주차장지하2층,2021-11-01,14,708,1339
T2 단기주차장지상1층,2021-11-01,14,46,988
T2 단기주차장지상2층,2021-11-01,14,255,470
T2 단기주차장지상3층,2021-11-01,14,210,448
T2 단기주차장지상4층,2021-11-01,14,456,486
T2 단기주차장지하M층,2021-11-01,14,529,751
T1 장기 P1 주차장,2021-11-01,14,647,2762
T1 장기 P1 주차타워,2021-11-01,14,650,1374
T1 장기 P2 주차장,2021-11-01,14,562,2592
T1 장기 P2 주차타워,2021-11-01,14,565,1375
T1 장기 P3 주차장,2021-11-01,14,0,0
T1 예약주차장,2021-11-01,14,992,1382
T2 장기 주차장,2021-11-01,14,669,2847
T2 예약 주차장,2021-11-01,14,750,936
T1 단기주차장지상층,2021-11-01,15,267,993
T1 단기주차장지하1층,2021-11-01,15,530,973
T1 단기주차장지하2층,2021-11-01,15,890,1339
T2 단기주차장지상1층,2021-11-01,15,461,988
T2 단기주차장지상2층,2021-11-01,15,71,470
T2 단기주차장지상3층,2021-11-01,15,101,448
T2 단기주차장지상4층,2021-11-01,15,305,486
T2 단기주차장지하M층,2021-11-01,15,189,751
T1 장기 P1 주차장,2021-11-01,15,112,2762
T1 장기 P1 주차타워,2021-11-01,15,114,1374
T1 장기 P2 주차장,2021-11-01,15,272,2592
T1 장기 P2 주차타워,2021-11-01,15,556,1375
T1 장기 P3 주차장,2021-11-01,15,0,0
T1 예약주차장,2021-11-01,15,1227,1382
T2 장기 주차장,2021-11-01,15,1640,2847
T2 예약 주차장,2021-11-01,15,303,936
T1 단기주차장지상층,2021-11-01,16,608,993
T1 단기주차장지하1층,2021-11-01,16,598,973
T1 단기주차장지하2층,2021-11-01,16,606,1339
T2 단기주차장지상1층,2021-11-01,16,276,988
T2 단기주차장지상2층,2021-11-01,16,105,470
T2 단기주차장지상3층,2021-11-01,16,358,448
T2 단기주차장지상4층,2021-11-01,16,222,486
T2 단기주차장지하M층,2021-11-01,16,46,751
T1 장기 P1 주차장,2021-11-01,16,2141,2762
T1 장기 P1 주차타워,2021-11-01,16,602,1374
T1 장기 P2 주차장,2021-11-01,16,1219,2592
T1 장기 P2 주차타워,2021-11-01,16,399,1375
T1 장기 P3 주차장,2021-11-01,16,0,0
T1 예약주차장,2021-11-01,16,872,1382
T2 장기 주차장,2021-11-01,16,282,2847
T2 예약 주차장,2021-11-01,16,525,936
T1 단기주차장지상층,2021-11-01,17,437,993
T1 단기주차장지하1층,2021-11-01,17,710,973
T1 단기주차장지하2층,2021-11-01,17,926,1339
T2 단기주차장지상1층,2021-11-01,17,512,988
T2 단기주차장지상2층,2021-11-01,17,232,470
T2 단기주차장지상3층,2021-11-01,17,71,448
T2 단기주차장지상4층,2021-11-01,17,420,486
T2 단기주차장지하M층,2021-11-01,17,321,751
T1 장기 P1 주차장,2021-11-01,17,2311,2762
T1 장기 P1 주차타워,2021-11-01,17,1222,1374
T1 장기 P2 주차장,2021-11-01,17,1110,2592
T1 장기 P2 주차타워,2021-11-01,17,425,1375
T1 장기 P3 주차장,2021-11-01,17,0,0
T1 예약주차장,2021-11-01,17,913,1382
T2 장기 주차장,2021-11-01,17,2038,2847
T2 예약 주차장,2021-11-01,17,515,936
T1 단기주차장지상층,2021-11-01,18,593,993
T1 단기주차장지하1층,2021-11-01,18,316,973
T1 단기주차장지하2층,2021-11-01,18,828,1339
T2 단기주차장지상1층,2021-11-01,18,871,988
T2 단기주차장지상2층,2021-11-01,18,260,470
T2 단기주차장지상3층,2021-11-01,18,127,448
T2 단기주차장지상4층,2021-11-01,18,12,486
T2 단기주차장지하M층,2021-11-01,18,33,751
T1 장기 P1 주차장,2021-11-01,18,965,2762
T1 장기 P1 주차타워,2021-11-01,18,974,1374
T1 장기 P2 주차장,2021-11-01,18,2029,2592
T1 장기 P2 주차타워,2021-11-01,18,332,1375
T1 장기 P3 주차장,2021-11-01,18,0,0
T1 예약주차장,2021-11-01,18,893,1382
T2 장기 주차장,2021-11-01,18,2426,2847
T2 예약 주차장,2021-11-01,18,775,936
T1 단기주차장지상층,2021-11-01,19,858,993
T1 단기주차장지하1층,2021-11-01,19,720,973
T1 단기주차장지하2층,2021-11-01,19,203,1339
T2 단기주차장지상1층,2021-11-01,19,533,988
T2 단기주차장지상2층,2021-11-01,19,319,470
T2 단기주차장지상3층,2021-11-01,19,134,448
T2 단기주차장지상4층,2021-11-01,19,271,486
T2 단기주차장지하M층,2021-11-01,19,407,751
T1 장기 P1 주차장,2021-11-01,19,1514,2762
T1 장기 P1 주차타워,2021-11-01,19,1075,1374
T1 장기 P2 주차장,2021-11-01,19,2103,2592
T1 장기 P2 주차타워,2021-11-01,19,1329,1375
T1 장기 P3 주차장,2021-11-01,19,0,0
T1 예약주차장,2021-11-01,19,876,1382
T2 장기 주차장,2021-11-01,19,1892,2847
T2 예약 주차장,2021-11-01,19,35,936
T1 단기주차장지상층,2021-11-01,20,968,993
T1 단기주차장지하1층,2021-11-01,20,930,973
T1 단기주차장지하2층,2021-11-01,20,331,1339
T2 단기주차장지상1층,2021-11-01,20,302,988
T2 단기주차장지상2층,2021-11-01,20,177,470
T2 단기주차장지상3층,2021-11-01,20,252,448
T2 단기주차장지상4층,2021-11-01,20,175,486
T2 단기주차장지하M층,2021-11-01,20,634,751
T1 장기 P1 주차장,2021-11-01,20,124,2762
T1 장기 P1 주차타워,2021-11-01,20,1008,1374
T1 장기 P2 주차장,2021-11-01,20,1086,2592
T1 장기 P2 주차타워,2021-11-01,20,1322,1375
T1 장기 P3 주차장,2021-11-01,20,0,0
T1 예약주차장,2021-11-01,20,421,1382
T2 장기 주차장,2021-11-01,20,1758,2847
T2 예약 주차장,2021-11-01,20,502,936
T1 단기주차장지상층,2021-11-01,21,450,993
T1 단기주차장지하1층,2021-11-01,21,126,973
T1 단기주차장지하2층,2021-11-01,21,1185,1339
T2 단기주차장지상1층,2021-11-01,21,514,988
T2 단기주차장지상2층,2021-11-01,21,242,470
T2 단기주차장지상3층,2021-11-01,21,370,448
T2 단기주차장지상4층,2021-11-01,21,33,486
T2 단기주차장지하M층,2021-11-01,21,657,751
T1 장기 P1 주차장,2021-11-01,21,1461,2762
T1 장기 P1 주차타워,2021-11-01,21,238,1374
T1 장기 P2 주차장,2021-11-01,21,2264,2592
T1 장기 P2 주차타워,2021-11-01,21,181,1375
T1 장기 P3 주차장,2021-11-01,21,0,0
T1 예약주차장,2021-11-01,21,619,1382
T2 장기 주차장,2021-11-01,21,1586,2847
T2 예약 주차장,2021-11-01,21,819,936
T1 단기주차장지상층,2021-11-01,22,383,993
T1 단기주차장지하1층,2021-11-01,22,508,973
T1 단기주차장지하2층,2021-11-01,22,278,1339
T2 단기주차장지상1층,2021-11-01,22,664,988
T2 단기주차장지상2층,2021-11-01,22,90,470
T2 단기주차장지상3층,2021-11-01,22,45,448
T2 단기주차장지상4층,2021-11-01,22,145,486
T2 단기주차장지하M층,2021-11-01,22,499,751
T1 장기 P1 주차장,2021-11-01,22,690,2762
T1 장기 P1 주차타워,2021-11-01,22,971,1374
T1 장기 P2 주차장,2021-11-01,22,170,2592
T1 장기 P2 주차타워,2021-11-01,22,1257,1375
T1 장기 P3 주차장,2021-11-01,22,0,0
T1 예약주차장,2021-11-01,22,6,1382
T2 장기 주차장,2021-11-01,22,958,2847
T2 예약 주차장,2021-11-01,22,12,936
T1 단기주차장지상층,2021-11-01,23,341,993
T1 단기주차장지하1층,2021-11-01,23,665,973
T1 단기주차장지하2층,2021-11-01,23,1186,1339
T2 단기주차장지상1층,2021-11-01,23,468,988
T2 단기주차장지상2층,2021-11-01,23,149,470
T2 단기주차장지상3층,2021-11-01,23,108,448
T2 단기주차장지상4층,2021-11-01,23,287,486
T2 단기주차장지하M층,2021-11-01,23,703,751
T1 장기 P1 주차장,2021-11-01,23,185,2762
T1 장기 P1 주차타워,2021-11-01,23,21,1374
T1 장기 P2 주차장,2021-11-01,23,186,2592
T1 장기 P2 주차타워,2021-11-01,23,1357,1375
T1 장기 P3 주차장,2021-11-01,23,0,0
T1 예약주차장,2021-11-01,23,407,1382
T2 장기 주차장,2021-11-01,23,1588,2847
T2 예약 주차장,2021-11-01,23,645,936
T1 단기주차장지상층,2021-11-02,0,445,993
T1 단기주차장지하1층,2021-11-02,0,378,973
T1 단기주차장지하2층,2021-11-02,0,327,1339
T2 단기주차장지상1층,2021-11-02,0,342,988
T2 단기주차장지상2층,2021-11-02,0,177,470
T2 단기주차장지상3층,2021-11-02,0,85,448
T2 단기주차장지상4층,2021-11-02,0,112,486
T2 단기주차장지하M층,2021-11-02,0,73,751
T1 장기 P1 주차장,2021-11-02,0,1641,2762
T1 장기 P1 주차타워,2021-11-02,0,1338,1374
T1 장기 P2 주차장,2021-11-02,0,1251,2592
T1 장기 P2 주차타워,2021-11-02,0,471,1375
T1 장기 P3 주차장,2021-11-02,0,0,0
T1 예약주차장,2021-11-02,0,948,1382
T2 장기 주차장,2021-11-02,0,1957,2847
T2 예약 주차장,2021-11-02,0,729,936
T1 단기주차장지상층,2021-11-02,1,427,993
T1 단기주차장지하1층,2021-11-02,1,834,973
T1 단기주차장지하2층,2021-11-02,1,591,1339
T2 단기주차장지상1층,2021-11-02,1,158,988
T2 단기주차장지상2층,2021-11-02,1,396,470
T2 단기주차장지상3층,2021-11-02,1,36,448
T2 단기주차장지상4층,2021-11-02,1,386,486
T2 단기주차장지하M층,2021-11-02,1,290,751
T1 장기 P1 주차장,2021-11-02,1,2049,2762
T1 장기 P1 주차타워,2021-11-02,1,70,1374
T1 장기 P2 주차장,2021-11-02,1,594,2592
T1 장기 P2 주차타워,2021-11-02,1,662,1375
T1 장기 P3 주차장,2021-11-02,1,0,0
T1 예약주차장,2021-11-02,1,1034,1382
T2 장기 주차장,2021-11-02,1,769,2847
T2 예약 주차장,2021-11-02,1,687,936
T1 단기주차장지상층,2021-11-02,2,429,993
T1 단기주차장지하1층,2021-11-02,2,186,973
T1 단기주차장지하2층,2021-11-02,2,566,1339
T2 단기주차장지상1층,2021-11-02,2,340,988
T2 단기주차장지상2층,2021-11-02,2,225,470
T2 단기주차장지상3층,2021-11-02,2,222,448
T2 단기주차장지상4층,2021-11-02,2,212,486
T2 단기주차장지하M층,2021-11-02,2,491,751
T1 장기 P1 주차장,2021-11-02,2,980,2762
T1 장기 P1 주차타워,2021-11-02,2,264,1374
T1 장기 P2 주차장,2021-11-02,2,1776,2592
T1 장기 P2 주차타워,2021-11-02,2,769,1375
T1 장기 P3 주차장,2021-11-02,2,0,0
T1 예약주차장,2021-11-02,2,131,1382
T2 장기 주차장,2021-11-02,2,2432,2847
T2 예약 주차장,2021-11-02,2,142,936
T1 단기주차장지상층,2021-11-02,3,827,993
T1 단기주차장지하1층,2021-11-02,3,86,973
T1 단기주차장지하2층,2021-11-02,3,827,1339
T2 단기주차장지상1층,2021-11-02,3,171,988
T2 단기주차장지상2층,2021-11-02,3,110,470
T2 단기주차장지상3층,2021-11-02,3,393,448
T2 단기주차장지상4층,2021-11-02,3,96,486
T2 단기주차장지하M층,2021-11-02,3,639,751
T1 장기 P1 주차장,2021-11-02,3,1991,2762
T1 장기 P1 주차타워,2021-11-02,3,920,1374
T1 장기 P2 주차장,2021-11-02,3,1420,2592
T1 장기 P2 주차타워,2021-11-02,3,997,1375
T1 장기 P3 주차장,2021-11-02,3,0,0
T1 예약주차장,2021-11-02,3,834,1382
T2 장기 주차장,2021-11-02,3,1999,2847
T2 예약 주차장,2021-11-02,3,864,936
T1 단기주차장지상층,2021-11-02,4,144,993
T1 단기주차장지하1층,2021-11-02,4,227,973
T1 단기주차장지하2층,2021-11-02,4,1194,1339
T2 단기주차장지상1층,2021-11-02,4,540,988
T2 단기주차장지상2층,2021-11-02,4,417,470
T2 단기주차장지상3층,2021-11-02,4,381,448
T2 단기주차장지상4층,2021-11-02,4,173,486
T2 단기주차장지하M층,2021-11-02,4,674,751
T1 장기 P1 주차장,2021-11-02,4,2429,2762
T1 장기 P1 주차타워,2021-11-02,4,567,1374
T1 장기 P2 주차장,2021-11-02,4,178,2592
T1 장기 P2 주차타워,2021-11-02,4,116,1375
T1 장기 P3 주차장,2021-11-02,4,0,0
T1 예약주차장,2021-11-02,4,1212,1382
T2 장기 주차장,2021-11-02,4,937,2847
T2 예약 주차장,2021-11-02,4,611,936
T1 단기주차장지상층,2021-11-02,5,535,993
T1 단기주차장지하1층,2021-11-02,5,716,973
T1 단기주차장지하2층,2021-11-02,5,94,1339
T2 단기주차장지상1층,2021-11-02,5,252,988
T2 단기주차장지상2층,2021-11-02,5,432,470
T2 단기주차장지상3층,2021-11-02,5,336,448
T2 단기주차장지상4층,2021-11-02,5,351,486
T2 단기주차장지하M층,2021-11-02,5,198,751
T1 장기 P1 주차장,2021-11-02,5,728,2762
T1 장기 P1 주차타워,2021-11-02,5,181,1374
T1 장기 P2 주차장,2021-11-02,5,1766,2592
T1 장기 P2 주차타워,2021-11-02,5,126,1375
T1 장기 P3 주차장,2021-11-02,5,0,0
T1 예약주차장,2021-11-02,5,5,1382
T2 장기 주차장,2021-11-02,5,695,2847
T2 예약 주차장,2021-11-02,5,362,936
T1 단기주차장지상층,2021-11-02,6,95,993
T1 단기주차장지하1층,2021-11-02,6,147,973
T1 단기주차장지하2층,2021-11-02,6,136,1339
T2 단기주차장지상1층,2021-11-02,6,28,988
T2 단기주차장지상2층,2021-11-02,6,84,470
T2 단기주차장지상3층,2021-11-02,6,422,448
T2 단기주차장지상4층,2021-11-02,6,106,486
T2 단기주차장지하M층,2021-11-02,6,390,751
T1 장기 P1 주차장,2021-11-02,6,2637,2762
T1 장기 P1 주차타워,2021-11-02,6,542,1374
T1 장기 P2 주차장,2021-11-02,6,2380,2592
T1 장기 P2 주차타워,2021-11-02,6,1077,1375
T1 장기 P3 주차장,2021-11-02,6,0,0
T1 예약주차장,2021-11-02,6,689,1382
T2 장기 주차장,2021-11-02,6,4,2847
T2 예약 주차장,2021-11-02,6,145,936
T1 단기주차장지상층,2021-11-02,7,760,993
T1 단기주차장지하1층,2021-11-02,7,838,973
T1 단기주차장지하2층,2021-11-02,7,684,1339
T2 단기주차장지상1층,2021-11-02,7,712,988
T2 단기주차장지상2층,2021-11-02,7,99,470
T2 단기주차장지상3층,2021-11-02,7,265,448
T2 단기주차장지상4층,2021-11-02,7,374,486
T2 단기주차장지하M층,2021-11-02,7,479,751
T1 장기 P1 주차장,2021-11-02,7,1751,2762
T1 장기 P1 주차타워,2021-11-02,7,1304,1374
T1 장기 P2 주차장,2021-11-02,7,2310,2592
T1 장기 P2 주차타워,2021-11-02,7,1348,1375
T1 장기 P3 주차장,2021-11-02,7,0,0
T1 예약주차장,2021-11-02,7,173,1382
T2 장기 주차장,2021-11-02,7,2151,2847
T2 예약 주차장,2021-11-02,7,569,936
T1 단기주차장지상층,2021-11-02,8,497,993
T1 단기주차장지하1층,2021-11-02,8,475,973
T1 단기주차장지하2층,2021-11-02,8,468,1339
T2 단기주차장지상1층,2021-11-02,8,370,988
T2 단기주차장지상2층,2021-11-02,8,276,470
T2 단기주차장지상3층,2021-11-02,8,274,448
T2 단기주차장지상4층,2021-11-02,8,483,486
T2 단기주차장지하M층,2021-11-02,8,280,751
T1 장기 P1 주차장,2021-11-02,8,928,2762
T1 장기 P1 주차타워,2021-11-02,8,168,1374
T1 장기 P2 주차장,2021-11-02,8,251,2592
T1 장기 P2 주차타워,2021-11-02,8,760,1375
T1 장기 P3 주차장,2021-11-02,8,0,0
T1 예약주차장,2021-11-02,8,391,1382
T2 장기 주차장,2021-11-02,8,2731,2847
T2 예약 주차장,2021-11-02,8,321,936
T1 단기주차장지상층,2021-11-02,9,507,993
T1 단기주차장지하1층,2021-11-02,9,429,973
T1 단기주차장지하2층,2021-11-02,9,202,1339
T2 단기주차장지상1층,2021-11-02,9,22,988
T2 단기주차장지상2층,2021-11-02,9,289,470
T2 단기주차장지상3층,2021-11-02,9,199,448
T2 단기주차장지상4층,2021-11-02,9,150,486
T2 단기주차장지하M층,2021-11-02,9,292,751
